pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.25,0.95,0.1154900775,0.042791877,0.8417180455,0.0143873022,0.0189158418,0.0237420789,0.7561342914,0.0585143096,0.7625770682,0.0356131183,0.892522129,0.054095876
0.3,0.05,0.1696912772,0.3595024994,0.4708062234,0.0168806169,0.0218507121,0.0227621564,-0.2481987753,0.0620415872,0.206276181,0.0339831534,0.012492531,0.0537640072
0.3,0.1,0.1666936016,0.3564385654,0.476867833,0.0168032514,0.0225751092,0.0235355815,-0.2360092977,0.064458402,0.2153433267,0.0351961439,0.026809998,0.0555908303
0.3,0.15,0.163867833,0.3532235691,0.4829085979,0.0167663607,0.023413667,0.024420035,-0.2235385404,0.0672011269,0.224391877,0.0365530486,0.0410782297,0.0576799015
0.3,0.2,0.16114019,0.3488163709,0.4900434391,0.0165324971,0.0239630312,0.0251950077,-0.2075893027,0.0693042532,0.2351029118,0.0376868823,0.0579306602,0.0595103801
0.3,0.25,0.1582687578,0.3446917521,0.4970394901,0.0165698962,0.0246709839,0.0260037005,-0.192344014,0.0716337845,0.2455710447,0.0389698807,0.0744552693,0.0614205052
0.3,0.3,0.1555045489,0.3384378905,0.5060575606,0.0163858595,0.0257113873,0.0270618689,-0.1708182204,0.0750099598,0.2590948513,0.0405664164,0.0957558701,0.0639198893
0.3,0.35,0.152636116,0.3327954011,0.5145684829,0.0162267396,0.0264087622,0.0278950365,-0.1510223194,0.0774100857,0.2718557986,0.0418326206,0.1158585914,0.0658878236
0.3,0.4,0.1497791302,0.3246487878,0.525572082,0.0161561196,0.0272840643,0.028879032,-0.1237254936,0.0802899499,0.2883583104,0.0433179134,0.1418489928,0.0682120121
0.3,0.45,0.1468685829,0.3144027743,0.5387286428,0.0161019954,0.0283833698,0.0300634703,-0.0900769058,0.0838247117,0.3080931892,0.0450943669,0.1729246704,0.0710096444
0.3,0.5,0.1440837291,0.3047522369,0.551164034,0.0159418773,0.0292348402,0.0311482693,-0.0583404399,0.0867779489,0.326746126,0.0467220883,0.2022969517,0.07357193
0.3,0.55,0.1412846288,0.2918858035,0.5668295676,0.0157742705,0.0307397409,0.0326561539,-0.0169420395,0.0914943058,0.3502443889,0.0489840704,0.2392988002,0.0771335398
0.3,0.6,0.1383749313,0.2768642089,0.5847608598,0.0157282357,0.031826564,0.0339391202,0.0310324419,0.0950705943,0.3771412897,0.0509086803,0.2816523499,0.0801638946
0.3,0.65,0.1352543364,0.2583788803,0.6063667833,0.0156215121,0.0323534276,0.0345849267,0.0896090227,0.0968542919,0.409550175,0.0518773901,0.3326853455,0.0816892837
