iter,f0,f1,f2
    251,    0.9500500000,    0.0000000000,    0.0499500000
    252,    0.9498400000,    0.0000000000,    0.0501600000
    253,    0.9492400000,    0.0000000000,    0.0507600000
    254,    0.9486500000,    0.0000000000,    0.0513500000
    255,    0.9489100000,    0.0000000000,    0.0510900000
    256,    0.9489400000,    0.0000000000,    0.0510600000
    257,    0.9491500000,    0.0000000000,    0.0508500000
    258,    0.9494300000,    0.0000000000,    0.0505700000
    259,    0.9497000000,    0.0000000000,    0.0503000000
    260,    0.9497000000,    0.0000000000,    0.0503000000
    261,    0.9500500000,    0.0000000000,    0.0499500000
    262,    0.9506600000,    0.0000000000,    0.0493400000
    263,    0.9506400000,    0.0000000000,    0.0493600000
    264,    0.9509200000,    0.0000000000,    0.0490800000
    265,    0.9514100000,    0.0000000000,    0.0485900000
    266,    0.9513600000,    0.0000000000,    0.0486400000
    267,    0.9514500000,    0.0000000000,    0.0485500000
    268,    0.9516100000,    0.0000000000,    0.0483900000
    269,    0.9514800000,    0.0000000000,    0.0485200000
    270,    0.9515000000,    0.0000000000,    0.0485000000
    271,    0.9514300000,    0.0000000000,    0.0485700000
    272,    0.9521200000,    0.0000000000,    0.0478800000
    273,    0.9523200000,    0.0000000000,    0.0476800000
    274,    0.9525700000,    0.0000000000,    0.0474300000
    275,    0.9530300000,    0.0000000000,    0.0469700000
    276,    0.9532600000,    0.0000000000,    0.0467400000
    277,    0.9535100000,    0.0000000000,    0.0464900000
    278,    0.9536000000,    0.0000000000,    0.0464000000
    279,    0.9539900000,    0.0000000000,    0.0460100000
    280,    0.9540400000,    0.0000000000,    0.0459600000
    281,    0.9541300000,    0.0000000000,    0.0458700000
    282,    0.9543500000,    0.0000000000,    0.0456500000
    283,    0.9547700000,    0.0000000000,    0.0452300000
    284,    0.9550100000,    0.0000000000,    0.0449900000
    285,    0.9553800000,    0.0000000000,    0.0446200000
    286,    0.9554400000,    0.0000000000,    0.0445600000
    287,    0.9550600000,    0.0000000000,    0.0449400000
    288,    0.9553800000,    0.0000000000,    0.0446200000
    289,    0.9558800000,    0.0000000000,    0.0441200000
    290,    0.9560600000,    0.0000000000,    0.0439400000
    291,    0.9559600000,    0.0000000000,    0.0440400000
    292,    0.9561800000,    0.0000000000,    0.0438200000
    293,    0.9562000000,    0.0000000000,    0.0438000000
    294,    0.9561400000,    0.0000000000,    0.0438600000
    295,    0.9563700000,    0.0000000000,    0.0436300000
    296,    0.9566100000,    0.0000000000,    0.0433900000
    297,    0.9569300000,    0.0000000000,    0.0430700000
    298,    0.9571200000,    0.0000000000,    0.0428800000
    299,    0.9571300000,    0.0000000000,    0.0428700000
    300,    0.9577600000,    0.0000000000,    0.0422400000
    301,    0.9584700000,    0.0000000000,    0.0415300000
    302,    0.9587500000,    0.0000000000,    0.0412500000
    303,    0.9588400000,    0.0000000000,    0.0411600000
    304,    0.9587500000,    0.0000000000,    0.0412500000
    305,    0.9585200000,    0.0000000000,    0.0414800000
    306,    0.9582100000,    0.0000000000,    0.0417900000
    307,    0.9582200000,    0.0000000000,    0.0417800000
    308,    0.9582000000,    0.0000000000,    0.0418000000
