pi1,pi2,f0,f1,f2,Q,Qs,niter
0.21,0.27,0.10680207,0.14963018,0.74356775,0.44430738999999997,0.59393757,8.0
0.21,0.29,0.10651519,0.14670131,0.7467835,0.45338088000000004,0.6000821900000001,8.0
0.21,0.31,0.10623147,0.14390065,0.74986788,0.46206658000000006,0.6059672300000001,8.0
0.21,0.33,0.10595077,0.1412191,0.75283013,0.47039193,0.6116110299999999,8.0
0.21,0.35,0.10567295,0.13864845,0.7556786,0.47838169999999997,0.6170301499999999,8.0
0.21,0.37,0.10539789,0.13618129,0.75842081,0.4860582299999999,0.6222395199999999,8.0
0.21,0.39,0.10512549,0.13381092,0.76106359,0.49344175,0.6272526700000001,8.0
0.21,0.41,0.10485564,0.13153123,0.76361313,0.50055067,0.6320819,8.0
0.21,0.43,0.10458826,0.12933665,0.76607509,0.50740179,0.63673844,8.0
0.21,0.45,0.10432325,0.12722211,0.76845464,0.51401042,0.6412325299999999,8.0
0.21,0.47,0.10406054,0.12518293,0.77075653,0.52039067,0.6455736,8.0
0.21,0.49,0.10380006,0.12321484,0.7729851,0.52655542,0.6497702599999999,8.0
0.23,0.01,0.11092518,0.22620825,0.66286658,0.21045007999999998,0.43665833,9.0
0.23,0.03,0.11056133,0.2191047,0.67033397,0.23212456999999992,0.4512292699999999,9.0
0.23,0.05,0.11020704,0.21256274,0.67723022,0.25210474,0.46466748,9.0
0.23,0.07,0.10986121,0.20650561,0.68363319,0.27062197,0.47712758,9.0
0.23,0.09,0.10952291,0.20087153,0.68960555,0.28786249,0.48873402,9.0
0.23,0.11,0.10919143,0.19560999,0.69519858,0.3039786,0.49958859,9.0
0.23,0.13,0.10886613,0.19067907,0.7004548,0.31909666000000003,0.5097757300000001,9.0
0.23,0.15,0.10854649,0.18604361,0.70540989,0.33332267,0.51936628,9.0
0.23,0.17,0.10823208,0.18167379,0.71009413,0.34674655,0.52842034,9.0
0.23,0.19,0.10792251,0.17754406,0.71453343,0.35944531,0.53698937,9.0
0.23,0.21,0.10761744,0.17363239,0.71875016,0.37148538000000003,0.5451177700000001,9.0
0.23,0.23,0.1073166,0.16991964,0.72276376,0.38292447999999996,0.5528441199999999,9.0
0.23,0.25,0.10701972,0.16638903,0.72659125,0.39381319000000004,0.5602022200000001,9.0
0.23,0.27,0.10672657,0.16302581,0.73024762,0.404196,0.5672218099999999,8.0
0.23,0.29,0.10643697,0.15981692,0.73374611,0.41411227,0.57392919,8.0
