pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.25,0.45,0.1466606748,0.2614902974,0.5918490277,0.0161332269,0.0274889972,0.0300984694,0.0688684329,0.0820430458,0.3877735416,0.0451477041,0.2729086099,0.0709942258,0.4848035044,0.2159009548,0.1768774595,0.0814885189
0.25,0.5,0.1421762759,0.2469329868,0.6108907373,0.0159390365,0.0276101456,0.0303087937,0.1170247638,0.0825934863,0.416336106,0.0454631905,0.3178320768,0.0715151311,0.5340296926,0.2592877981,0.1755959618,0.0825584522
0.25,0.55,0.1376605649,0.2297211197,0.6326183154,0.0157397592,0.0280039542,0.0308826116,0.173176076,0.0840895698,0.4489274731,0.0463239173,0.3690993959,0.0728690834,0.5838385035,0.3108414396,0.1736740569,0.0839941054
0.25,0.6,0.1331285379,0.2116113172,0.655260145,0.0155076201,0.0282920776,0.0312443298,0.2320375106,0.0851487041,0.4828902174,0.0468664947,0.4225239376,0.073722576,0.6338699009,0.3651735866,0.1712985624,0.0848437949
0.25,0.65,0.1287538815,0.1903063734,0.6809397451,0.0152557005,0.0279524617,0.0311496344,0.3003269983,0.0844598548,0.5214096176,0.0467244516,0.4831162524,0.0734991374,0.6822005604,0.4290819395,0.1685888533,0.0838519626
0.25,0.7,0.1243778555,0.1671050337,0.7085171107,0.0150340063,0.0272568707,0.0306112474,0.3743070432,0.0825634587,0.5627756661,0.0459168711,0.548186441,0.072228786,0.7305608808,0.4986848988,0.1661638517,0.0817706121
0.25,0.75,0.1200154461,0.1417698975,0.7382146563,0.0147836322,0.0263756532,0.0299002646,0.4546748613,0.0801187643,0.6073219845,0.0448503969,0.6182593015,0.0705511862,0.7787768163,0.5746903074,0.1633972381,0.0791269595
0.25,0.8,0.1158683029,0.115523889,0.768607808,0.0145193997,0.0246791032,0.028466183,0.53756003,0.0752575153,0.6529117121,0.0426992745,0.6899734797,0.0671673982,0.824613494,0.6534283329,0.1604775759,0.0740373097
0.25,0.85,0.1116668233,0.0872062484,0.8011269283,0.014244627,0.0221154911,0.0262274582,0.6267144314,0.0677671719,0.7016903924,0.0393411873,0.766703988,0.0618850138,0.8710509004,0.7383812547,0.1574406141,0.0663464733
0.25,0.9,0.107736096,0.0584349213,0.8338289828,0.0140069821,0.0185345346,0.0232070968,0.7169591402,0.057310477,0.7507434741,0.0348106453,0.8438661391,0.0547583184,0.9144957813,0.8246952362,0.154814013,0.0556036039
0.25,0.95,0.103899865,0.0292711122,0.8668290227,0.0137740168,0.0136218876,0.0194185813,0.8082867983,0.043187171,0.8002435341,0.0291278719,0.921731402,0.0458191244,0.9568962286,0.9121866633,0.1522391334,0.0408656627
0.3,0.05,0.1610309023,0.340356101,0.4986129968,0.016481497,0.0216845223,0.0229558415,-0.1820992052,0.0621203954,0.2479209798,0.0344284588,0.0468180814,0.0353411094,0.20917243,0.0511084129,0.1573649857,0.0385254452
0.3,0.1,0.1580741415,0.3356251437,0.5063007148,0.0164169121,0.0224005335,0.0237346619,-0.1649495726,0.0645110528,0.2594512522,0.0356013195,0.0549728692,0.0402518986,0.2186071995,0.0559853765,0.1629331467,0.0415807854
0.3,0.15,0.1551075131,0.3306803899,0.514212097,0.0163135599,0.0228392799,0.0242811653,-0.1471486828,0.0660776568,0.2713182804,0.0364212521,0.0663528387,0.0463609398,0.2340051731,0.0621588222,0.1714926401,0.0457614122
0.3,0.2,0.1520415696,0.3245283879,0.5234300425,0.016129249,0.0235621803,0.0250505957,-0.1256267333,0.0685080268,0.2851451087,0.0375757227,0.0835368178,0.0528277877,0.255106813,0.0729580272,0.1821176294,0.051452421
0.3,0.25,0.1489915521,0.3171312972,0.5338771507,0.016067846,0.0242444826,0.0259720671,-0.1003854436,0.0709511316,0.3008157261,0.0389581006,0.1058623561,0.0588678343,0.2831915765,0.0882757968,0.1938787727,0.0581193542
0.3,0.3,0.1460230142,0.3093586603,0.5446183254,0.0160038208,0.0249347097,0.0267545276,-0.0740989953,0.0732503116,0.3169276531,0.0401310539,0.1306223059,0.0630438812,0.314901208,0.1068858243,0.2048927437,0.0640367908
0.3,0.35,0.1429746763,0.2999951612,0.5570301625,0.0158938722,0.0253746119,0.0273159419,-0.04296016,0.0748096068,0.3355452437,0.0409739128,0.1601896947,0.065962759,0.3513598216,0.1312849083,0.2140567403,0.0687840955
0.3,0.4,0.1399460135,0.2895791452,0.5704748413,0.0157148142,0.0263842613,0.0284138345,-0.0086834491,0.0781338766,0.3557122619,0.0426207518,0.1928640474,0.0692346102,0.3900706362,0.1600752479,0.2214453779,0.0740286162
0.3,0.45,0.13679997,0.2769083829,0.5862916471,0.0155685065,0.0270360337,0.0293481058,0.0324748813,0.0805286276,0.3794374706,0.0440221587,0.2315131819,0.0717820781,0.433400678,0.1960752559,0.2271214968,0.0774580088
