arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,2,0.3,0.3,7,8,0.7,0.4255416146,0.2677342093,0.3067241761,0.0835254595,0.0750467845,0.0780911725,-0.2287442425,0.1952787958,0.171099368,0.0948351755,4.2904400757,0.3123345014,0.3038966091,1.4673969092,0.1742290728,0.1633786599
20,2,0.3,0.3,7,8,0.75,0.4701683151,0.2475226908,0.2823089942,0.0839941971,0.0728720688,0.0763245075,-0.2127363873,0.1876919591,0.218520727,0.1091034035,5.0750980826,0.3583989037,0.354896768,1.4778318061,0.1780095415,0.1663611313
20,2,0.3,0.3,7,8,0.8,0.5261124719,0.2205588603,0.2533286678,0.0846831672,0.0704125768,0.0735656686,-0.1877890527,0.1778786974,0.2925207984,0.121127387,6.0595868176,0.42457032,0.4184108673,1.4903940119,0.1792331921,0.1648774919
20,2,0.3,0.3,7,8,0.85,0.5968347913,0.1874431392,0.2157220695,0.0822274771,0.0657066328,0.0691819771,-0.159164209,0.1635233665,0.3955677509,0.1225539135,7.3042923269,0.5095052087,0.5031715572,1.4472035977,0.1708182976,0.1572269324
20,2,0.3,0.3,7,8,0.9,0.6899686507,0.1446968258,0.1653345235,0.0781742734,0.0593999071,0.0627938819,-0.1240591281,0.1441418556,0.5349561895,0.1172496073,8.9434482522,0.621059191,0.6178955927,1.3758672127,0.155463091,0.1431337822
20,2,0.3,0.3,7,8,0.95,0.8162487949,0.0858459671,0.097905238,0.0656254159,0.0477006989,0.0502534183,-0.0737866962,0.1123163737,0.7243731924,0.0984381238,11.165978791,0.7751653243,0.7716150015,1.1550073193,0.1249304018,0.1145673786
20,2,0.3,0.3,7,10,0.0,0.1640005713,0.3437727711,0.4922266576,0.0624514444,0.0800686663,0.0841521693,-0.1953188846,0.2278384184,0.2585534331,0.1046877159,0.7831770629,0.1846441723,0.1649198831,0.5837654245,0.1414291322,0.1237043653
20,2,0.3,0.3,7,10,0.05,0.1712234798,0.3408540722,0.487922448,0.0637179697,0.0800127443,0.0842091117,-0.1937856964,0.2270810421,0.2523571964,0.1046298713,0.7998015881,0.1847030555,0.1653130206,0.605438325,0.1414245605,0.1237731436
20,2,0.3,0.3,7,10,0.1,0.1786441961,0.3372613989,0.484094405,0.0648172785,0.0800586005,0.0847299006,-0.1904283929,0.2271369325,0.2465052308,0.1056145839,0.8254638172,0.1855004684,0.166650007,0.631943439,0.1417151176,0.1251808544
20,2,0.3,0.3,7,10,0.15,0.1875196915,0.3352191952,0.4772611133,0.0661607078,0.0792640572,0.0839360872,-0.1931772771,0.2237812911,0.2368122969,0.1041622091,0.8680847371,0.1843644055,0.1670554077,0.6733272694,0.1403984116,0.1250757395
20,2,0.3,0.3,7,10,0.2,0.1965312957,0.3313030314,0.4721656729,0.0671053582,0.0795523268,0.0843429742,-0.1904403899,0.2242908601,0.2298538223,0.1041709609,0.9215196933,0.1862218187,0.1697493011,0.7158212071,0.1419038482,0.1272508616
20,2,0.3,0.3,7,10,0.25,0.206875424,0.3270962259,0.4660283501,0.0684657664,0.0795560521,0.0845099314,-0.1881641018,0.2236641585,0.2211508551,0.1041980007,1.0019675301,0.1883373646,0.1734480666,0.7706723598,0.1428937383,0.129480717
20,2,0.3,0.3,7,10,0.3,0.2191333595,0.3205328668,0.4603337737,0.069945401,0.0788956367,0.084490636,-0.1807319599,0.2213106716,0.2124384618,0.1037612512,1.1131826201,0.1910110024,0.1770174209,0.8385127366,0.1441741833,0.1321027669
20,2,0.3,0.3,7,10,0.35,0.2318860285,0.3158180455,0.452295926,0.0713191755,0.0785251788,0.0839898382,-0.179340165,0.2190599264,0.2018483236,0.1020720814,1.2473500672,0.1944259445,0.1826821837,0.9044792936,0.1450980962,0.1353921126
20,2,0.3,0.3,7,10,0.4,0.2457786982,0.3110245296,0.4431967722,0.0726201122,0.0782620022,0.0837492036,-0.1788522869,0.2173570146,0.1900516299,0.1002140596,1.4098593667,0.1980228072,0.1914721492,0.9701480794,0.1476092888,0.1400419983
20,2,0.3,0.3,7,10,0.45,0.2629331239,0.3035304031,0.433536473,0.0744324498,0.0780391085,0.0841278748,-0.1735243332,0.2160850145,0.1791195772,0.0977854027,1.630865031,0.2059557492,0.2030576234,1.0456149419,0.1515490475,0.1470326454
20,2,0.3,0.3,7,10,0.5,0.2809231978,0.2955169779,0.4235598243,0.0758597594,0.0777603599,0.0841325837,-0.1674741315,0.2144889512,0.168443532,0.0948464849,1.8796400534,0.2155536354,0.2166163451,1.105916257,0.1568598935,0.1533229125
20,2,0.3,0.3,7,10,0.55,0.3037527761,0.2871923448,0.4090548791,0.0778500916,0.0768250629,0.0836730372,-0.1653298104,0.2104632977,0.1564240368,0.0893348678,2.2125946535,0.2268380728,0.2383241023,1.1703210521,0.1607029429,0.1622142616
20,2,0.3,0.3,7,10,0.6,0.3289419074,0.2759131646,0.3951449281,0.079336569,0.0756393565,0.082647743,-0.1566814011,0.2055024073,0.1489732567,0.0845191499,2.5921407926,0.2445309421,0.2621690762,1.2172205641,0.1670219121,0.1683235371
20,2,0.3,0.3,7,10,0.65,0.3599011676,0.2635104081,0.3765884243,0.0811606758,0.0747940077,0.0821687643,-0.1504323919,0.2016082051,0.1480299925,0.0814179201,3.0690558862,0.267524085,0.2979888878,1.2598928293,0.1750799384,0.1771722199
20,2,0.3,0.3,7,10,0.7,0.3949432642,0.2491170065,0.3559397294,0.082746583,0.0733833579,0.0804455296,-0.1422942836,0.1950157917,0.1587735209,0.0844533142,3.6143287987,0.2981192593,0.3410078117,1.291128181,0.1815087087,0.1825754447
20,2,0.3,0.3,7,10,0.75,0.4394692755,0.2299996429,0.3305310815,0.083555973,0.0711077488,0.0795119853,-0.1294682044,0.1879923878,0.1910272432,0.0968648297,4.3098196879,0.3432115032,0.3988526449,1.3063336442,0.187164826,0.1869514618
20,2,0.3,0.3,7,10,0.8,0.4942287285,0.2081643875,0.297606884,0.0846722126,0.0686896274,0.0776210575,-0.118721891,0.179013709,0.2517875531,0.1130862823,5.166149415,0.4003515108,0.4767492178,1.3243299635,0.1892540638,0.1876169059
20,2,0.3,0.3,7,10,0.85,0.5657861249,0.1782188739,0.2559950012,0.0840739226,0.0646198586,0.0739614091,-0.1004427465,0.1653129697,0.3503521263,0.1228168181,6.2853727228,0.4836027184,0.5778476379,1.3150023796,0.1843664796,0.1806646262
20,2,0.3,0.3,7,10,0.9,0.6611558539,0.1390382404,0.1998059057,0.0800772775,0.0586132463,0.0674780351,-0.0782705752,0.1464520085,0.4917796265,0.1199747162,7.7770530994,0.5962645461,0.7153389335,1.2524907506,0.1697752483,0.1652903105
20,2,0.3,0.3,7,10,0.95,0.7969060592,0.0833608741,0.1197330667,0.0675504247,0.0463991051,0.0545556013,-0.0469886814,0.1127833447,0.6953590888,0.1013256371,9.9003255413,0.7578565087,0.9114973064,1.0565579254,0.1347783528,0.1336502682
20,2,0.4,0.2,7,8,0.0,0.1851711358,0.5185463634,0.2962825008,0.0656046472,0.0843520698,0.0771339515,-0.740810226,0.2278873187,0.2851096512,0.1158407905,0.8794112681,0.1295691791,0.107075494,0.6440785132,0.0983681099,0.0793749856
20,2,0.4,0.2,7,8,0.05,0.193296533,0.5130867283,0.2936167387,0.066872828,0.0849494616,0.0773118026,-0.732556718,0.2286610164,0.2771408576,0.1166258452,0.8971313216,0.1309254421,0.1075012893,0.6692547101,0.0990398785,0.0794511263
20,2,0.4,0.2,7,8,0.1,0.2016043132,0.5085488628,0.289846824,0.0675564985,0.0844355569,0.0765424526,-0.7272509016,0.2263286544,0.2703644803,0.1157263129,0.9212547852,0.1306069197,0.1068375192,0.6969003245,0.0991382063,0.0787659413
20,2,0.4,0.2,7,8,0.15,0.2107723069,0.502181169,0.2870465241,0.0688374962,0.0848516505,0.0766431769,-0.7173158139,0.2265924611,0.261210983,0.1159662006,0.9704706131,0.1329370616,0.1074264371,0.7396762875,0.1004954389,0.0790900342
20,2,0.4,0.2,7,8,0.2,0.2211601385,0.4951924876,0.2836473739,0.0703162136,0.0843759455,0.0759072514,-0.7067376013,0.2238588702,0.251494912,0.1142467169,1.0421714571,0.1346739438,0.1070522404,0.7976002546,0.1018140437,0.0788830436
20,2,0.4,0.2,7,8,0.25,0.2326596922,0.48867983,0.2786604777,0.0716134451,0.0840814426,0.0754502945,-0.6986991823,0.2218995352,0.2419875031,0.1135197161,1.138907449,0.1372637657,0.1080025948,0.8607745155,0.1037550974,0.0791365769
20,2,0.4,0.2,7,8,0.3,0.2449220552,0.4802169458,0.274860999,0.0727437627,0.0849479811,0.0759020966,-0.6855728925,0.2236001605,0.2308664977,0.1132002479,1.2572258254,0.1439674061,0.1101427957,0.9302759673,0.1075614338,0.0802694048
20,2,0.4,0.2,7,8,0.35,0.259269754,0.4711517835,0.2695784625,0.0739621072,0.0847508181,0.075193936,-0.6727251044,0.2216253696,0.2192103403,0.1108202087,1.4204283654,0.1504184464,0.1117202482,1.0039035792,0.1115095885,0.080828489
20,2,0.4,0.2,7,8,0.4,0.2752009141,0.4603457707,0.2644533152,0.0753191216,0.0848006436,0.0749855726,-0.6562382262,0.220611566,0.2064577427,0.1077568387,1.6228431683,0.1603298971,0.1143828877,1.0814247247,0.1167375667,0.0820607583
20,2,0.4,0.2,7,8,0.45,0.2924088978,0.4507411718,0.2568499304,0.0769599979,0.0838919357,0.0735745745,-0.6446324133,0.2159192274,0.1962210876,0.1031858405,1.8630688262,0.1690387097,0.1176829724,1.1567483826,0.1211958764,0.083431041
