arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,5,0.3,0.3,7,10,0.0,0.1636745099,0.3436099547,0.4927155354,0.062615426,0.080238974,0.0845723605,-0.1945043739,0.2285734609
20,5,0.3,0.3,7,10,0.05,0.1615346163,0.3402042347,0.498261149,0.0624318447,0.082714094,0.0872494727,-0.1821473203,0.2368367983
20,5,0.3,0.3,7,10,0.1,0.1606015639,0.3356159532,0.503782483,0.0627033215,0.0841103245,0.0890444218,-0.1674494234,0.2416000709
20,5,0.3,0.3,7,10,0.15,0.1591843468,0.3314935552,0.509322098,0.0627039803,0.0861840702,0.0914889896,-0.1536650123,0.2486227888
20,5,0.3,0.3,7,10,0.2,0.1569818974,0.3277604884,0.5152576142,0.0627461034,0.0877381038,0.0938061515,-0.1402633627,0.2543864862
20,5,0.3,0.3,7,10,0.25,0.1555238333,0.324146392,0.5203297747,0.0627950542,0.0897665547,0.0958173095,-0.1279630092,0.2607769905
20,5,0.3,0.3,7,10,0.3,0.1552656122,0.3192240511,0.5255103367,0.0631563845,0.0926685704,0.0991101749,-0.1129377656,0.2702143708
20,5,0.3,0.3,7,10,0.35,0.1556635127,0.312934195,0.5314022923,0.0634064937,0.0942708872,0.1012605166,-0.0944660978,0.275757703
20,5,0.3,0.3,7,10,0.4,0.1540961902,0.3044978755,0.5414059342,0.063304265,0.0960829412,0.1032688131,-0.0675898168,0.2817269474
20,5,0.3,0.3,7,10,0.45,0.1531892741,0.2998353269,0.546975399,0.0638358992,0.0992634167,0.1074513952,-0.0526952548,0.2925862579
20,5,0.3,0.3,7,10,0.5,0.152524726,0.291149784,0.5563254901,0.0637656743,0.1013478679,0.1094859708,-0.0259740779,0.2990948895
20,5,0.3,0.3,7,10,0.55,0.1551876317,0.2851895598,0.5596228086,0.0645955101,0.1028747267,0.1118753812,-0.0107563109,0.3044706871
20,5,0.3,0.3,7,10,0.6,0.1557042168,0.2741143286,0.5701814546,0.0649261152,0.1052250576,0.1143459486,0.0219527975,0.311814149
20,5,0.3,0.3,7,10,0.65,0.1564290356,0.2637850537,0.5797859107,0.0662423769,0.1075865525,0.1185187027,0.0522158032,0.3206448835
20,5,0.3,0.3,7,10,0.7,0.1613699432,0.2529963223,0.5856337344,0.0673607941,0.1091258791,0.1209833923,0.0796410897,0.3260164649
20,5,0.3,0.3,7,10,0.75,0.1605809976,0.2357027886,0.6037162138,0.0664455357,0.1122058958,0.1240855624,0.1323106366,0.3360098811
20,5,0.3,0.3,7,10,0.8,0.1674945549,0.215137787,0.6173676581,0.0686244399,0.1138627618,0.1277823837,0.1870920841,0.3425708049
20,5,0.3,0.3,7,10,0.85,0.1699436569,0.193142143,0.6369142,0.0690963899,0.1161209753,0.1316154615,0.250629914,0.3511748173
20,5,0.3,0.3,7,10,0.9,0.183505695,0.1705353662,0.6459589388,0.0724218332,0.1164646516,0.1353744354,0.3048882065,0.3547857942
20,5,0.3,0.3,7,10,0.95,0.2118658907,0.1318778877,0.6562562217,0.0821749236,0.1117905453,0.1398449799,0.3925004463,0.3466225256
20,6,0.3,0.3,7,8,0.0,0.181830828,0.3830372407,0.4351319313,0.06506748,0.0821306846,0.0837700862,-0.3309425501,0.2303419724
20,6,0.3,0.3,7,8,0.05,0.1793945799,0.3812434034,0.4393620166,0.0651852249,0.0847639687,0.0866229753,-0.3231247902,0.2390020393
20,6,0.3,0.3,7,8,0.1,0.1775441854,0.3813703717,0.4410854429,0.0654545836,0.0873119989,0.0896002356,-0.3216553005,0.2475001264
20,6,0.3,0.3,7,8,0.15,0.1751085086,0.3788555718,0.4460359196,0.0652677524,0.0899995515,0.0921264969,-0.3116752241,0.2560109976
20,6,0.3,0.3,7,8,0.2,0.1735470418,0.3774142179,0.4490387403,0.0655146748,0.0916908073,0.0941816067,-0.3057896954,0.2616665908
20,6,0.3,0.3,7,8,0.25,0.1716196665,0.3753324526,0.4530478809,0.0657442264,0.0939789866,0.0966466423,-0.2976170243,0.2690156378
20,6,0.3,0.3,7,8,0.3,0.1697901239,0.3745746421,0.455635234,0.0656645163,0.0968163066,0.0994449345,-0.2935140501,0.2780010989
20,6,0.3,0.3,7,8,0.35,0.1683889028,0.3727408148,0.4588702824,0.0657317398,0.1006446079,0.1035765445,-0.2866113472,0.2903773425
