pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.15,0.35,0.1947795194,0.2472260506,0.55799443,0.0695882097,0.0997597189,0.112043739,0.0635423287,0.2961222206,0.3471896312,0.1523689881,0.3117313065,0.1959064559,0.5251996801,0.3097143061,0.3157091037,0.2116102025
0.15,0.4,0.1843985432,0.2359456564,0.5796558003,0.0683289549,0.1041669901,0.1181469596,0.1077644874,0.3124787849,0.3801342522,0.1599031082,0.3546789662,0.2090965287,0.5693330543,0.3388431974,0.3225389526,0.2239093147
0.15,0.45,0.1751797765,0.2179248045,0.606895419,0.0669836043,0.1052517611,0.1194905614,0.17104581,0.3167459164,0.417944621,0.1657685932,0.4032888533,0.2215389101,0.6108168971,0.3730953996,0.3263028904,0.2381336076
0.15,0.5,0.1662202307,0.2060913343,0.627688435,0.065656053,0.1057908346,0.1196011276,0.2155057664,0.3184996998,0.448147606,0.1669120149,0.4430786003,0.2259327195,0.6530594096,0.400160164,0.3286296776,0.2444211851
0.15,0.55,0.1574313564,0.1838943835,0.65867426,0.0636174541,0.1044444524,0.1187790547,0.2908854929,0.3157259768,0.4917706288,0.1701982136,0.5021222886,0.2331477546,0.6950966577,0.4488046866,0.327362832,0.2575875127
0.15,0.6,0.1500503446,0.1645402935,0.6854093619,0.0625365352,0.1031937942,0.1180356026,0.3563287749,0.3128407406,0.5314732031,0.1691897645,0.5566019157,0.2332972631,0.733193169,0.4992544381,0.3253294647,0.2633223554
0.15,0.65,0.1423976149,0.1444985182,0.7131038669,0.0612820754,0.1017579772,0.117586023,0.4241068304,0.3099944329,0.5727305674,0.168388381,0.6137944022,0.2329340109,0.7724031617,0.5544268865,0.3238943468,0.2693737884
0.15,0.7,0.1358460385,0.1265444353,0.7376095262,0.0597458985,0.0978622319,0.1138120676,0.4845206556,0.2986344152,0.6083375585,0.1653624156,0.6628431072,0.2300284345,0.8065970218,0.6045046051,0.3191754165,0.2672335467
0.15,0.75,0.128880637,0.1078230442,0.7632963188,0.0581488928,0.0976601892,0.1135380664,0.5476502303,0.2985551295,0.6480470954,0.1607200965,0.7181980737,0.2238046685,0.8438140188,0.6661471027,0.3126694694,0.2628181903
0.15,0.8,0.1231138644,0.0806005641,0.7962855715,0.0568860351,0.0847039781,0.1018990179,0.6350844432,0.2602436762,0.6956607277,0.1483205572,0.7845240439,0.2069174798,0.8745513788,0.7424656761,0.3081229048,0.244958848
