pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.25,0.35,0.156523819,0.2870499875,0.5564261935,0.037090871,0.0577015198,0.062748254,-0.0176737816,0.1704035123,0.335339915,0.0925713391,0.2041816175,0.1267797035,0.46061703,0.1825952012,0.3109899244,0.1261091348
0.25,0.4,0.151859985,0.276583954,0.571556061,0.0366949787,0.0591380198,0.0645943222,0.018388153,0.1755222743,0.3578022744,0.0957808223,0.2350974223,0.1363563793,0.4938323051,0.2048692827,0.3206072022,0.1359733576
0.25,0.45,0.1476693327,0.262752162,0.5895785054,0.0362329122,0.0609727381,0.066714141,0.0640741815,0.1817490872,0.3846985004,0.0992388123,0.2739569153,0.1459706367,0.525271077,0.2370165959,0.3291143404,0.1487196093
0.25,0.5,0.1429213697,0.2488581355,0.6082204949,0.0357610368,0.0628272115,0.0689755512,0.1105042239,0.1881454956,0.4125997001,0.1027379548,0.3159710016,0.1539551572,0.5649689157,0.2725913022,0.3365963188,0.1595112536
0.25,0.55,0.1384852287,0.2321148213,0.62939995,0.0352263562,0.0631958265,0.0695866961,0.1651703074,0.1897561788,0.4442987753,0.1037925043,0.3639979331,0.1585912361,0.6038182823,0.316059835,0.3423445674,0.168096037
0.25,0.6,0.1340286928,0.2140184454,0.6519528618,0.0348544383,0.064078975,0.0707569166,0.223915971,0.1929420902,0.4780131217,0.1058681901,0.4161377689,0.1633892397,0.6454231705,0.3662569858,0.3479605841,0.1758841608
0.25,0.65,0.1297195701,0.1924647838,0.6778156461,0.0341866371,0.0631809731,0.0701403057,0.2928860785,0.1907158812,0.5167956761,0.1049575192,0.4764324874,0.1635093279,0.6867082703,0.426784004,0.349490991,0.1799373958
0.25,0.7,0.1250813797,0.1690584354,0.705860185,0.0337841277,0.0619733093,0.0694808121,0.3677433142,0.1877342844,0.558831892,0.1040537428,0.5422235733,0.1629276335,0.7334904432,0.4947911022,0.3519087275,0.1806216032
0.25,0.75,0.1211025744,0.1439224194,0.7349750062,0.0332605767,0.0592022513,0.0672049068,0.4471301675,0.1799066589,0.6024634841,0.1008028084,0.6106749661,0.1583429926,0.7744441521,0.5689058735,0.3511422824,0.1754386357
0.25,0.8,0.1167643089,0.1169753562,0.7662603349,0.032642967,0.0552064788,0.0636700553,0.5323096226,0.1682766563,0.6493905024,0.0955050829,0.6844379018,0.1502172075,0.8199273866,0.6492070982,0.348771881,0.1650966684
0.25,0.85,0.1126676831,0.0898234941,0.7975088228,0.0321843942,0.0504245048,0.0596324532,0.6178618345,0.1544415814,0.6962647338,0.0894397391,0.758178242,0.1406445812,0.8635042029,0.7306370907,0.3471015549,0.1507530892
0.25,0.9,0.1085509123,0.0600384404,0.8314106473,0.0314445533,0.0416762618,0.0520506317,0.7113337666,0.1287313081,0.747115971,0.0780759475,0.8381599544,0.1228160973,0.9076618477,0.8198883779,0.3418326058,0.1250045259
0.25,0.95,0.1047990502,0.0311329168,0.864068033,0.0309279602,0.0312602604,0.0439921543,0.8018021995,0.0987728442,0.7961020495,0.0659882315,0.9152167071,0.1038017125,0.9482700641,0.9066012497,0.3381781952,0.0937807811
0.3,0.05,0.1608822794,0.3403941015,0.4987236191,0.0368196071,0.0488202703,0.0514128935,-0.1820645839,0.1397104244,0.2507315921,0.0728046385,0.1014807021,0.0765036444,0.463894693,0.113945785,0.3445829119,0.0851648031
0.3,0.1,0.158276181,0.335663984,0.506059835,0.0366363842,0.0498177159,0.0527957751,-0.165268133,0.1434174369,0.2613443639,0.0753513207,0.1070404186,0.0805651446,0.4662785457,0.1178203021,0.3446459044,0.08765135
0.3,0.15,0.1551140715,0.3310485379,0.5138373907,0.0364146774,0.0513751929,0.0546952407,-0.1482596851,0.1488593741,0.2728002249,0.0784627495,0.115598239,0.0866299454,0.4729006851,0.1236687781,0.3461208407,0.091922107
0.3,0.2,0.1524246938,0.3242207948,0.5233545114,0.0362053958,0.0528370987,0.0564298224,-0.1250870782,0.1538891393,0.2867339915,0.0815097736,0.1271726747,0.0944048658,0.4804367882,0.1320549839,0.3496755132,0.0975008781
0.3,0.25,0.1493745064,0.3174354911,0.5331900025,0.0359630619,0.0538908164,0.0576152017,-0.1016809798,0.1574711761,0.3011666833,0.0837191938,0.1407388233,0.1019531629,0.4918151616,0.1413168303,0.355506776,0.1029888453
0.3,0.3,0.1464908273,0.308864084,0.5446450887,0.0358091965,0.0550937614,0.0590940795,-0.0730830792,0.1616281808,0.3179950262,0.0865085098,0.1590395433,0.1114547178,0.5064870577,0.1545885005,0.3627862989,0.1108422578
0.3,0.35,0.1435790552,0.3009925019,0.5554284429,0.035538696,0.0570205521,0.0613839771,-0.0465565609,0.1681845423,0.3340940265,0.0900293712,0.1802975039,0.1200066046,0.5227173335,0.1709490842,0.3702889139,0.1183539889
0.3,0.4,0.1405261185,0.2906346913,0.5688391902,0.0352969143,0.058818982,0.0635761253,-0.0124301925,0.1743331944,0.353939915,0.0938391536,0.2063587758,0.1314911145,0.543292805,0.1914047322,0.3790466001,0.1296984518
0.3,0.45,0.1374325419,0.2779252687,0.5846421895,0.0350209351,0.0598969615,0.0649528865,0.0287916521,0.1781279783,0.3774214196,0.0963077792,0.239188217,0.1408407095,0.56602575,0.2185511694,0.389208924,0.1401333407
0.3,0.5,0.134624044,0.2667216196,0.5986543364,0.0346244878,0.0621956145,0.067510335,0.0652110972,0.1857013528,0.3983723069,0.1002800189,0.2707806502,0.1501693114,0.5881754177,0.2465373133,0.3968764624,0.1503011386
0.3,0.55,0.1312362909,0.2498014996,0.6189622094,0.0343536193,0.0626390068,0.0681793452,0.1193592102,0.1874214451,0.4286224444,0.1017732095,0.316613435,0.1571445051,0.6195081486,0.2878314731,0.4080340482,0.1598345966
0.3,0.6,0.128096126,0.2311581105,0.6407457636,0.0339214857,0.0635890521,0.0696635051,0.1784295426,0.1910996671,0.4612369658,0.1041371513,0.3678771733,0.1640993071,0.6504986446,0.3369831399,0.4154112153,0.1688180879
0.3,0.65,0.1249086728,0.2109762059,0.6641151212,0.0335778355,0.0635523057,0.0698905135,0.2421627093,0.1913961413,0.4962699325,0.1045085863,0.4237567255,0.1671495983,0.6837294779,0.3919674296,0.4253610275,0.1741738355
0.3,0.7,0.1216259935,0.1883064734,0.6900675331,0.0332524142,0.062823714,0.0698326413,0.3134545864,0.1899980567,0.5351310672,0.1046381958,0.4864195256,0.1690411455,0.7210154641,0.4553750205,0.4342258784,0.1765151547
0.3,0.75,0.1182576356,0.1634722319,0.7182701325,0.0327547125,0.0613702372,0.0685705063,0.3913256686,0.1858973822,0.5774173457,0.1028054679,0.5550771383,0.1670603395,0.761202443,0.5261553564,0.4398326133,0.1752826215
0.3,0.8,0.1150579855,0.1352411397,0.7497008748,0.0323740616,0.0577939707,0.0655457279,0.4792185954,0.1755944928,0.6245545364,0.0983032591,0.6318610267,0.1603230159,0.802220791,0.6074153295,0.4441530388,0.1669394901
0.3,0.85,0.1115065734,0.1046778805,0.7838155461,0.0319212535,0.0543290489,0.062851105,0.5744597851,0.1658997428,0.6757234691,0.0942757656,0.7153925776,0.1538742453,0.8485334948,0.6960376692,0.4491260536,0.1573625177
0.3,0.9,0.1078872782,0.0710395901,0.8210731317,0.0313723403,0.0454853191,0.0550554659,0.6789939515,0.1397796517,0.7316096976,0.0825831988,0.8066453547,0.134872843,0.8977620082,0.793657369,0.4508816252,0.132061151
0.3,0.95,0.1044434891,0.0357569608,0.8597995501,0.0308641915,0.0329547207,0.0451351029,0.7882856286,0.1035491071,0.7896993252,0.0677026544,0.9015169702,0.1105719389,0.9457219285,0.8961347092,0.4521992772,0.0957240573
0.35,0.05,0.142348163,0.3481738065,0.5094780305,0.0349128705,0.0487307297,0.051199884,-0.1868695826,0.1402660736,0.2667643089,0.0725468981,0.1040357969,0.0779697014,0.6388041924,0.1110056925,0.4754619681,0.0832996587
